	train_id	stop_pa	t_northbound	timestamp	temp	precipiation	visability	windspeed	humidity	cloudcover	is_bullet	is_limited	tweet_id	is_delay	del_min	del_med	del_maj	del_cat	is_backlog	is_canceled	is_passing	is_accident	is_medical	is_mechanical	is_customer	is_event	d_monday	d_tuesday	d_wednesday	d_thursday	d_friday	d_saturday	d_sunday
78	375.0	1.0	1.0	2015-06-08 17:44:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	386672980488030580737	1	1	1	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0
79	277.0	1.0	1.0	2015-06-08 17:54:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	380654474906319482880	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0
80	279.0	1.0	1.0	2015-06-08 18:16:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	287641791390314184704	1	1	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0
81	381.0	1.0	1.0	2015-06-08 18:06:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	443673342234113130496	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
82	283.0	1.0	1.0	2015-06-08 18:24:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	375649035931572285440	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0
83	385.0	1.0	1.0	2015-06-08 18:43:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	1	0	360629804122154217473	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
84	287.0	1.0	1.0	2015-06-08 18:54:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	360629804371094605824	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
85	289.0	1.0	1.0	2015-06-08 19:10:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	1	155615652065717678080	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
86	191.0	1.0	1.0	2015-06-08 19:21:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	309615565431907201025	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
87	193.0	1.0	1.0	2015-06-08 20:01:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	277649036507177619456	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
88	195.0	1.0	1.0	2015-06-08 21:01:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	135651802509825175553	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
89	197.0	1.0	1.0	2015-06-08 22:01:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	258626542811354009600	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
90	199.0	1.0	1.0	2015-06-08 23:01:00	72.97875	0.0	10.0	6.68125	0.62875	0.09875	0	0	138652535366927290368	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
91	102.0	1.0	0.0	2015-06-09 05:53:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
92	104.0	1.0	0.0	2015-06-09 06:23:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	0	258611670061820981248	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
93	206.0	1.0	0.0	2015-06-09 06:59:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
94	208.0	1.0	0.0	2015-06-09 07:20:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
95	210.0	1.0	0.0	2015-06-09 07:28:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	1	231646719505939324929	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
96	312.0	1.0	0.0	2015-06-09 07:38:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	1	0	257635932374711140352	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
97	314.0	1.0	0.0	2015-06-09 07:53:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	1	0	220623885577469886464	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
98	216.0	1.0	0.0	2015-06-09 08:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	1	365624731150263521280	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
99	218.0	1.0	0.0	2015-06-09 08:20:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	1	323623150694824935424	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
100	220.0	1.0	0.0	2015-06-09 08:28:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	1	319613713834348417024	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
101	322.0	1.0	0.0	2015-06-09 08:38:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	1	0	277646496306802786304	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
102	324.0	1.0	0.0	2015-06-09 08:53:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	1	0	274654089827072081920	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
103	226.0	1.0	0.0	2015-06-09 09:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	1	375624747408304373760	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
104	228.0	1.0	0.0	2015-06-09 09:20:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
105	230.0	1.0	0.0	2015-06-09 09:28:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	1	386623668101712773120	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
106	332.0	1.0	0.0	2015-06-09 09:38:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	1	0	151662038242301112321	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
107	134.0	1.0	0.0	2015-06-09 10:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	0	365618210814105796608	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
108	236.0	1.0	0.0	2015-06-09 10:27:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
109	138.0	1.0	0.0	2015-06-09 11:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	0	423652877934517063680	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
110	142.0	1.0	0.0	2015-06-09 12:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	0	376612069340192485376	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0
111	146.0	1.0	0.0	2015-06-09 13:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	0	332661604623111753728	1	1	1	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0
112	150.0	1.0	0.0	2015-06-09 14:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	0	449643294645502394368	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0
113	152.0	1.0	0.0	2015-06-09 15:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	0	371641393298557530112	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
114	254.0	1.0	0.0	2015-06-09 15:27:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	1	449643286827030347776	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0
115	156.0	1.0	0.0	2015-06-09 16:05:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	0	425652872745819111424	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0
116	258.0	1.0	0.0	2015-06-09 16:27:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	1	360627263837792702464	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
117	360.0	1.0	0.0	2015-06-09 16:46:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	1	0	376631266022410969089	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0
118	262.0	1.0	0.0	2015-06-09 17:03:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	1	360649734646515658753	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0
119	264.0	0.0	0.0	2015-06-09 17:10:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	1	287629101103167209472	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
120	366.0	1.0	0.0	2015-06-09 17:14:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	1	0	385628400683155238912	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
121	268.0	1.0	0.0	2015-06-09 17:40:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	0	1	385628383102797115392	1	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0
122	370.0	1.0	0.0	2015-06-09 17:51:00	68.5616666667	0.0	10.0	7.08833333333	0.695416666667	0.05	1	0	278612073320557621248	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
