	day_of_week	day_of_month	month	time_of_day	topic_train	t_bullet	t_limited	t_northbound	timestamp	train_id_x	tweet_id	uid	is_delay	delay_minor	delay_med	delay_major	delay_catastrophic	is_backlog	is_canceled	is_passing	is_accident	is_medical	is_mechanical	is_customer	is_event
102	3	12	11	error	'146', '147'	0	0	1	2015-11-12 21:03:14	147	664911353346330624	151665292687944192000	1	1	0	0	0	0	0	0	0	0	0	0	0
103	3	12	11	error	'147', '146'	0	0	1	2015-11-12 20:59:21	147	664910374064381952	146664911353346330624	1	0	0	0	1	1	0	0	0	0	0	0	0
104	3	12	11	error	'147', '146'	0	0	0	2015-11-12 20:59:21	146	664910374064381952	147664911353346330624	1	0	0	1	0	1	0	0	0	0	0	0	0
105	3	12	11	error	'146', '147', ''	0	0	0	2015-11-12 20:55:19	146	664909358292078592	147664910374064381952	1	0	0	0	0	0	0	0	0	0	0	0	0
106	3	12	11	error	'146', '147', ''	0	0	1	2015-11-12 20:55:19	147	664909358292078592	146664910374064381952	1	0	0	0	0	0	0	0	0	0	0	0	0
107	2	11	11	error	'268'	0	1	0	2015-11-11 02:07:09	268	664263059184091136	146664909358292078592	1	0	0	1	0	0	0	0	0	0	0	0	0
108	2	11	11	error	'264'	0	1	0	2015-11-11 01:55:54	264	664260229245243392	147664909358292078592	1	0	0	1	0	0	0	0	0	0	0	0	0
109	1	10	11	error	'254', '155'	0	1	0	2015-11-10 23:40:34	254	664226169726722048	268664263059184091136	1	0	1	0	0	1	0	0	0	0	0	0	0
110	1	10	11	error	'254', '155'	0	0	1	2015-11-10 23:40:34	155	664226169726722048	264664260229245243392	1	0	1	0	0	0	0	0	0	0	1	0	0
111	1	10	11	error	'155'	0	0	1	2015-11-10 23:15:01	155	664219740315893760	254664226169726722048	1	0	1	0	0	0	0	0	0	0	0	0	0
112	1	10	11	error	'155'	0	0	1	2015-11-10 22:41:21	155	664211266580320256	155664226169726722048	1	0	1	0	0	0	0	0	0	0	0	0	0
113	0	9	11	error	'146'	0	0	0	2015-11-09 20:21:06	146	663813585383002112	155664219740315893760	1	0	1	0	0	0	0	0	0	0	0	0	0
114	4	6	11	rush_evening	'139'	0	0	1	2015-11-06 19:02:34	139	662706656657014784	155664211266580320256	1	0	1	0	0	0	0	0	0	0	1	0	0
115	3	5	11	error	'154'	0	0	0	2015-11-05 23:29:23	154	662411418289860608	146663813585383002112	1	1	0	0	0	0	0	0	0	0	0	0	0
116	2	4	11	error	'254'	0	1	0	2015-11-04 23:29:01	254	662048934982905856	139662706656657014784	1	1	0	0	0	0	0	0	0	0	1	0	0
117	2	4	11	error	'151'	0	0	1	2015-11-04 22:46:31	151	662038242301112321	154662411418289860608	1	1	0	0	0	0	0	0	0	0	0	0	0
118	2	4	11	error	'278'	0	1	0	2015-11-04 02:31:18	278	661732421818126337	254662048934982905856	1	1	0	0	0	0	0	0	0	0	0	0	0
119	1	3	11	rush_evening	'332'	1	0	0	2015-11-03 18:03:28	332	661604623111753728	151662038242301112321	1	1	0	0	0	0	0	0	0	0	0	0	0
